Interest-Objective,Accountant,Brand Advisor,CEO,CFA,CFO,Co-founder,Company Secretary,COO,CTO,Designer,Entrepreneur,Executive,Finance Specialist,Financial Advisor,Financial Analyst,Graphic Designer,Growth hacker,Influencer,Investment fund,Investor,Journalist,Lawyer,Marketing Agency,Professional,Sales Specialist,Software Engineer,Startup,UI/UX Designer,Videographer,Writer
Marketing Experts - Make investor relations,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0.2,0.2
Marketing Experts - Mentor others,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0.5,0.4
Marketing Experts - Mentor people,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0.5,0.4
Marketing Experts - Find a mentor,0.1,0.9,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.4,0.1,0.3,0.2,0.2,0.2,0.4,0.7,0.3,0.1,0.1,0.4,0.1,0.9,0.3,0.9,0.1,0.1,0.3,0.4,0.3
Marketing Experts - Share my industry expertise,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0.5,0.4
Marketing Experts - Learn about specific industries,0.1,0.9,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.4,0.1,0.3,0.2,0.2,0.2,0.4,0.7,0.3,0.1,0.1,0.4,0.1,0.9,0.3,0.9,0.1,0.1,0.3,0.4,0.3
Marketing Experts - Share product or technical knowledge,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0.5,0.4
Marketing Experts - Speak with product or technical experts,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.4,0.7,0.4,0.1,0.1,0.3,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0.5,0.4
Marketing Experts - Explore work & other partnerships,0.2,0.9,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.4,0.1,0.2,0.2,0.2,0.2,0.4,0.7,0.2,0.2,0.2,0.4,0.2,0.9,0.2,0.9,0.1,0.1,0.2,0.6,0.4
Marketing Experts - Acquire customers,0.2,0.9,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.4,0.1,0.2,0.2,0.2,0.2,0.4,0.7,0.2,0.2,0.2,0.4,0.2,0.9,0.2,0.9,0.1,0.1,0.2,0.6,0.4
Marketing Experts - Explore shared interests,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.7,0.3,0.2,0.2,0.3,0.2,0.9,0.2,0.8,0.2,0.2,0.2,0.5,0.6
