Manufacturer,Model,Price Display,Price
motorola,moto g(6),"15,998.00",15998
Realme,RMX1851,"16,000.00",16000
HUAWEI,BKL-L09,"16,000.00",16000
vivo,vivo 1723,"16,000.00",16000
vivo,V2036,"16,000.00",16000
vivo,vivo 1951,"17,000.00",17000
vivo,vivo 1907,"17,000.00",17000
OPPO,CPH2095,"17,000.00",17000
OPPO,CPH1937,"17,000.00",17000
vivo,vivo 1921,"17,000.00",17000
vivo,V2031,"17,000.00",17000
samsung,SM-M405F,"17,499.00",17499
samsung,SM-G610F,"17,500.00",17500
samsung,SM-A315F,"17,999.00",17999
vivo,vivo 1727,"18,000.00",18000
realme,RMX2061,"18,000.00",18000
samsung,SM-T385,"18,000.00",18000
HUAWEI,STK-L21,"18,000.00",18000
vivo,V2030,"18,000.00",18000
realme,RMX3081,"18,000.00",18000
HUAWEI,BKK-AL10,"18,000.00",18000
samsung,SM-A600G,"18,999.00",18999
samsung,SM-A600GN,"18,999.00",18999
OPPO,CPH2001,"19,000.00",19000
HUAWEI,JSN-L42,"19,000.00",19000
vivo,vivo 1920,"19,000.00",19000
vivo,vivo 1920_20,"19,000.00",19000
samsung,SM-A405FN,"19,500.00",19500
LeMobile,Le X526,"19,999.00",19999
Xiaomi,Redmi K20 Pro,"25,000.00",25000
samsung,SM-A730F,"25,990.00",25990
samsung,SM-A515F,"25,999.00",25999
samsung,SM-C701F,"26,600.00",26600
samsung,SM-A715F,"27,499.00",27499
OnePlus,AC2001,"28,000.00",28000
OnePlus,ONEPLUS A5000,"28,000.00",28000
OnePlus,HD1901,"30,000.00",30000
OnePlus,GM1901,"30,000.00",30000
samsung,SM-T505,"22,000.00",22000
samsung,SM-A750F,"22,300.00",22300
OPPO,CPH1945,"25,000.00",25000
samsung,SM-C900F,"31,900.00",31900
samsung,SM-A707F,"33,100.00",33100
samsung,SM-G770F,"37,000.00",37000
OnePlus,ONEPLUS A5010,"38,000.00",38000
OnePlus,GM1911,"40,000.00",40000
OnePlus,ONEPLUS A6010,"40,000.00",40000
samsung,SM-M515F,"24,999.00",24999
realme,RMX1931,"25,000.00",25000
Apple,"iPhone8,1","40,000.00",40000
OPPO,CPH1989,"23,000.00",23000
realme,RMX1992,"20,000.00",20000
samsung,SM-M317F,"22,999.00",22999
OnePlus,ONEPLUS A3003,"28,000.00",28000
samsung,SM-A910F,"28,400.00",28400
vivo,vivo 1919,"20,000.00",20000
OPPO,CPH1723,"20,000.00",20000
vivo,vivo 1804,"20,000.00",20000
Xiaomi,Redmi K20,"20,000.00",20000
vivo,V2022,"20,000.00",20000
HUAWEI,RNE-L22,"20,000.00",20000
Xiaomi,M2101K6I,"20,000.00",20000
OnePlus,A0001,"20,000.00",20000
Xiaomi,M2102J20SI,"20,000.00",20000
samsung,SM-A325F,"20,499.00",20499
motorola,moto g 5G,"20,999.00",20999
OPPO,CPH2285,"22,000.00",22000
vivo,V2025,"23,000.00",23000
motorola,moto x4,"24,000.00",24000
LGE,LM-Q710.FGN,"24,000.00",24000
OPPO,CPH2119,"25,000.00",25000
OnePlus,ONE A2003,"25,000.00",25000
vivo,vivo 1933,"25,000.00",25000
OPPO,CPH1819,"25,000.00",25000
OPPO,CPH1979,"25,000.00",25000
HUAWEI,PAR-AL00,"25,000.00",25000
Xiaomi,M2007J17I,"25,000.00",25000
samsung,GT-N7105,"25,000.00",25000
vivo,V2045,"25,000.00",25000
OPPO,CPH2213,"25,000.00",25000
OPPO,CPH1727,"25,000.00",25000
LGE,Nexus 5X,"26,000.00",26000
LGE,LM-G710,"26,000.00",26000
realme,RMX2081,"26,000.00",26000
samsung,SM-A705GM,"26,500.00",26500
asus,ASUS_I001DE,"27,000.00",27000
samsung,SM-A716U,"27,499.00",27499
samsung,SM-A730F,"27,499.00",27499
vivo,vivo 1909,"28,000.00",28000
vivo,V2040,"28,000.00",28000
OPPO,CPH2035,"28,000.00",28000
samsung,SM-A920F,"28,400.00",28400
Apple,"iPhone8,2","40,000.00",40000
OnePlus,IN2021,"40,000.00",40000
samsung,SM-N770F,"38,999.00",38999
